City,Company,State
Belle,Praxair; Inc.,WV
Charleston,Airgas,WV
Institute,Aventis CropScience,WV
Natrium,PPG Industries; Inc,WV
New Martinsville,Bayer Corp,WV
New Martinsville,,WV
Newell,Ergon WV,WV
Proctor (Natrium),General Hydrogen,WV
South Charleston,Air Products and Chemicals; Inc.,WV
Weirton,BOC Group; Inc,WV
Salisbury,Air Products and Chemicals; Inc.,MD
Tuscola,Air Products and Chemicals; Inc.,IL
Pensacola,"BOC Group, Inc",FL
Decatur,Lagus Corp,AL
Institute,"Praxair, Inc.",WV
Norcross,"Praxair, Inc.",GA
Green Bay,Fort James Corp,WI
Eastover,Huron Tech Corp,SC
Delaware City,Occidental Petroleum Corp,DE
Smackover,Cross Oil & Refining Co; Inc,AR
Council Bluffs,Bunge Foods Group,IA
Des Moines,Archer Daniels Midland Comp,IA
Sioux City,Cargill,IA
Conway,Brown Industries,KS
Conway,Koch Industries,KS
El Dorado,Frontier Eldorado Refining,KS
Salina,Brown Industries,KS
Wichita,Airgas,KS
Wichita,Airgas,KS
Wichita,Cargill,KS
Wichita,Vulcan Materials Co,KS
Lake Charles,Air Liquide America Corp,LA
Lake Charles,CITGO Petroleum Corp,LA
Lake Charles,Lyondell Chemical Company,LA
Lake Charles,PPG Industries; Inc,LA
Lake Charles,Praxair; Inc.,LA
Lake Charles,Praxair; Inc.,LA
Princeton,Calumet Lubricants Co,LA
Shreveport,Pennzoil Co,LA
Sulphur,CONDEA Vista Co,LA
Westlake,Jupiter Chemicals - should be sold to,LA
Mankato,Archer Daniels Midland Comp,MN
Mankato,Honeymead Products,MN
Roseville,Praxair; Inc.,MN
Roseville,Praxair; Inc.,MN
St. Paul (Rosemount -93.07,Koch Refining,MN
St. Paul Park,Marathon Ashland Petroleum Co,MN
Kansas City,Praxair; Inc.,MO
St. Joseph,Ag Processing Inc,MO
Lincoln,Archer Daniels Midland Comp,NE
Omaha,Penn Specialty Chemical Inc,NE
Ardmore,Ultramar Diamond Shamrock Corp,OK
Muskogee,Fort James Corp,OK
Tulsa,Airgas,OK
Bay City,Celanese Ltd.,TX
Baytown,Air Products and Chemicals; Inc.,TX
Baytown,Bayer Corp,TX
Baytown,Bayer Corp,TX
Baytown,ExxonMobile Chemical,TX
Beaumont,ExxonMobile Chemical,TX
Bishop,Celanese Ltd.,TX
Borger,Phillips Petroleum Co,TX
Channelview,Equistar Chemicals (was Lyondell Petr,TX
Channelview,Praxair; Inc.,TX
Clear Lake City,Air Products and Chemicals; Inc.,TX
Clear Lake City,Celanese Ltd.,TX
Corpus Christi,Air Liquide America Corp,TX
Corpus Christi,Coastal Refining & Marketing Inc,TX
Corpus Christi,Javelina Co,TX
Corpus Christi,Occidental Petroleum Corp,TX
Corpus Christi,Valero Refining Co,TX
Dallas,Air Liquide,TX
Dallas,Air Liquide America Corp,TX
Deer Park,Air Liquide America Corp,TX
Deer Park,Deer Park Refining Limited Partnershi,TX
Deer Park,Millennium Petrochemicals Inc,TX
Deer Park,OxyVinyls LP,TX
Deer Park,Rohm and Has Co,TX
Fort Worth,Bunge Foods Group,TX
Freeport,Air Liquide America Corp,TX
Freeport,BASF Corp,TX
Freeport,Dow Chemicals USA,TX
Houston,Air Liquide,TX
Houston,Air Products,TX
Houston,Air Products and Chemicals; Inc.,TX
Ingleside,Air Liquide America Corp,TX
Kingsville,Air Liquide America Corp,TX
La Porte,Air Products and Chemicals; Inc.,TX
La Porte,Air Products and Chemicals; Inc.,TX
La Porte,OxyVinyls LP,TX
La Porte,Praxair; Inc.,TX
La Porte,Praxair; Inc.,TX
Mont Belvieu,Air Products and Chemicals; Inc.,TX
Mont Belvieu,Belvieu Environmental Fuels,TX
Mont Belvieu,Praxair; Inc.,TX
Odessa,Air Liquide America Corp,TX
Odessa,Rexene Corp,TX
Odessa,Sterling Pulp Chemical; Ltd,TX
Orange,DuPont,TX
Pasadena,Air Products and Chemicals; Inc.,TX
Point Comfort,Formosa Plastics Corp USA,TX
Sherman,Ag Processing Inc,TX
Silsbee,South Hampton Refining Co,TX
Texas City,BP Amoco Corp,TX
Texas City,Praxair; Inc.,TX
Texas City,Praxair; Inc.,TX
Texas City,Praxair; Inc.,TX
Texas City,T&P Syngas (Texaco & Praxair),TX
Texas City,Union Carbide Corp,TX
Three Rivers,Ultramar Diamond Shamrock Corp,TX
Victoria (Beaumont),DuPont,TX
Gallatin,Air Products and Chemicals; Inc.,TX
Baytown,Air Products and Chemicals; Inc.,TX
Lake Charles,"Praxair, Inc.",LA
Texas City,"Praxair, Inc.",TX
Cotton Valley,Calumet Lubricants Co,LA
Mankato,Cenex Harvest States Cooperatives,MN
Lake Charles,CONDEA Vista Co,LA
Sweeny,Phillips Petroleum Co,TX
Mont Belvieu,Belvieu Environmental Fuels,TX
