State,Name,Types,Source
Tennessee,Vehicle Emissions Reduction and Electric Vehicle (EV) Charging Station Project Funding,"Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/12218
Tennessee,Natural Gas Vehicle (NGV) and Electric Vehicle (EV) Weight Exemption,"Electricity, Natural Gas",https://afdc.energy.gov/laws/13255
Texas,Seaport and Rail Yard Emissions Reduction Grants,"Biodiesel, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/12837
Texas,Heavy-Duty Vehicle and Equipment Grants,"Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/12836
Texas,Natural Gas Vehicle (NGV) Grant,Natural Gas,https://afdc.energy.gov/laws/9457
Texas,Clean Vehicle and Infrastructure Grants,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/5309
Texas,Electric Vehicle (EV) and Natural Gas Vehicle (NGV) Weight Exemption,"Electricity, Natural Gas",https://afdc.energy.gov/laws/11848
Texas,Fleet Electrification Assessment – American Electric Power (AEP) Texas,Electricity,https://afdc.energy.gov/laws/13187
Texas,Electric Equipment and Electric Vehicle (EV) Charging Station Incentive – Entergy,Electricity,https://afdc.energy.gov/laws/12262
Texas,Natural Gas Vehicle (NGV) Rebates - Texas Gas Servic,Natural Gas,https://afdc.energy.gov/laws/5312
Utah,Qualified Heavy-Duty Alternative Fuel Vehicle (AFV) Tax Credit,"Electricity, Hydrogen, Natural Gas",https://afdc.energy.gov/laws/11624
Utah,Natural Gas Vehicle (NGV) Weight Exemption,Natural Gas,https://afdc.energy.gov/laws/12013
Vermont,Heavy-Duty Vehicle Emissions Reduction Grants,"Biodiesel, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/12003
Virginia,Idle Reduction and Alternative Fuel Vehicle Weight Exemption,Natural Gas,https://afdc.energy.gov/laws/6510
Virginia,Propane Vehicle Rebate – Virginia Propane Gas Association,Propane,https://afdc.energy.gov/laws/13188
Virginia,Commercial Electric Vehicle (EV) Charging Station Rebate – Dominion Energy,Electricity,https://afdc.energy.gov/laws/13189
Washington,Commercial Alternative Fuel Vehicle (AFV) and Fueling Infrastructure Tax Credit,"Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/11642
Washington,Green Transportation Grant Program,"Electricity, Hydrogen",https://afdc.energy.gov/laws/12222
Washington,Propane Vehicle Rebate – Pacific Propane Gas Association (PPGA),Propane,https://afdc.energy.gov/laws/12616
Washington,Zero Emission Truck Support and Demonstration,"Electricity, Hydrogen",https://afdc.energy.gov/laws/12867
Wisconsin,Idle Reduction and Natural Gas Vehicle (NGV) Weight Exemption,Natural Gas,https://afdc.energy.gov/laws/6474
Wisconsin,Wisconsin Renewable Energy and Energy Storage Programs,Electricity,https://afdc.energy.gov/laws/12844
